precision,recall,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,mean_similarity_positive,mean_similarity_negative,similarity_separation,threshold,algorithm_name
0.5243850381516462,0.98275,0.6838662537837933,0.5457,19655,17827,345,2173,0.756781636002886,0.4060721661671661,0.3507094698357198,0.1,NYSIIS
0.5362912027941498,0.9827,0.6938991667843526,0.5665,19654,16994,346,3006,0.756781636002886,0.4060721661671661,0.3507094698357198,0.15000000000000002,NYSIIS
0.5868032539921663,0.9738,0.7323181049069373,0.64405,19476,13714,524,6286,0.756781636002886,0.4060721661671661,0.3507094698357198,0.20000000000000004,NYSIIS
0.6199727113248003,0.9542,0.7516048993737938,0.68465,19084,11698,916,8302,0.756781636002886,0.4060721661671661,0.3507094698357198,0.25000000000000006,NYSIIS
0.6345596803728983,0.95295,0.7618267212950934,0.702075,19059,10976,941,9024,0.756781636002886,0.4060721661671661,0.3507094698357198,0.30000000000000004,NYSIIS
0.6706241649169689,0.87835,0.7605585020023812,0.723475,17567,8628,2433,11372,0.756781636002886,0.4060721661671661,0.3507094698357198,0.3500000000000001,NYSIIS
0.7074933278587558,0.86155,0.7769586292413482,0.752675,17231,7124,2769,12876,0.756781636002886,0.4060721661671661,0.3507094698357198,0.40000000000000013,NYSIIS
0.7154138637028371,0.8561,0.779459631711925,0.757775,17122,6811,2878,13189,0.756781636002886,0.4060721661671661,0.3507094698357198,0.45000000000000007,NYSIIS
0.74453125,0.71475,0.7293367346938775,0.73475,14295,4905,5705,15095,0.756781636002886,0.4060721661671661,0.3507094698357198,0.5000000000000001,NYSIIS
0.74453125,0.71475,0.7293367346938775,0.73475,14295,4905,5705,15095,0.756781636002886,0.4060721661671661,0.3507094698357198,0.5500000000000002,NYSIIS
0.7496424280565249,0.65515,0.6992182288748365,0.718175,13103,4376,6897,15624,0.756781636002886,0.4060721661671661,0.3507094698357198,0.6000000000000002,NYSIIS
0.75,0.65445,0.6989746876001282,0.71815,13089,4363,6911,15637,0.756781636002886,0.4060721661671661,0.3507094698357198,0.6500000000000001,NYSIIS
0.7549470317809315,0.56655,0.6473192607615185,0.691325,11331,3678,8669,16322,0.756781636002886,0.4060721661671661,0.3507094698357198,0.7000000000000002,NYSIIS
0.7719467776704081,0.51925,0.620871072848474,0.682925,10385,3068,9615,16932,0.756781636002886,0.4060721661671661,0.3507094698357198,0.7500000000000002,NYSIIS
0.7830650804758572,0.50355,0.6129454368400231,0.682025,10071,2790,9929,17210,0.756781636002886,0.4060721661671661,0.3507094698357198,0.8000000000000002,NYSIIS
0.7897026257513445,0.49925,0.6117510109055263,0.68315,9985,2659,10015,17341,0.756781636002886,0.4060721661671661,0.3507094698357198,0.8500000000000002,NYSIIS
0.7923627684964201,0.498,0.6116057721829905,0.68375,9960,2610,10040,17390,0.756781636002886,0.4060721661671661,0.3507094698357198,0.9000000000000002,NYSIIS
0.7923627684964201,0.498,0.6116057721829905,0.68375,9960,2610,10040,17390,0.756781636002886,0.4060721661671661,0.3507094698357198,0.9500000000000003,NYSIIS
