precision,recall,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,mean_similarity_positive,mean_similarity_negative,similarity_separation,threshold,algorithm_name
0.5252581709783881,0.98675,0.6855763218231083,0.54745,19735,17837,265,2163,0.7889006367243867,0.406941336996337,0.3819592997280497,0.1,Soundex
0.5370380449572743,0.9867,0.6955203891023156,0.56805,19734,17012,266,2988,0.7889006367243867,0.406941336996337,0.3819592997280497,0.15000000000000002,Soundex
0.5881982737952529,0.98135,0.7355344026382851,0.64715,19627,13741,373,6259,0.7889006367243867,0.406941336996337,0.3819592997280497,0.20000000000000004,Soundex
0.6221842673455577,0.96535,0.7566773137896573,0.689575,19307,11724,693,8276,0.7889006367243867,0.406941336996337,0.3819592997280497,0.25000000000000006,Soundex
0.6366156282998944,0.9646,0.7670165394402035,0.707,19292,11012,708,8988,0.7889006367243867,0.406941336996337,0.3819592997280497,0.30000000000000004,Soundex
0.6764144945963128,0.9044,0.7739671808476498,0.735875,18088,8653,1912,11347,0.7889006367243867,0.406941336996337,0.3819592997280497,0.3500000000000001,Soundex
0.7134732457545658,0.8907,0.7922967443515389,0.7665,17814,7154,2186,12846,0.7889006367243867,0.406941336996337,0.3819592997280497,0.40000000000000013,Soundex
0.7216146997845441,0.88755,0.7960268167447702,0.772575,17751,6848,2249,13152,0.7889006367243867,0.406941336996337,0.3819592997280497,0.45000000000000007,Soundex
0.7554572124707871,0.75965,0.7575478048415646,0.756875,15193,4918,4807,15082,0.7889006367243867,0.406941336996337,0.3819592997280497,0.5000000000000001,Soundex
0.7554572124707871,0.75965,0.7575478048415646,0.756875,15193,4918,4807,15082,0.7889006367243867,0.406941336996337,0.3819592997280497,0.5500000000000002,Soundex
0.7637557876601702,0.7093,0.7355213356146627,0.74495,14186,4388,5814,15612,0.7889006367243867,0.406941336996337,0.3819592997280497,0.6000000000000002,Soundex
0.7641509433962265,0.70875,0.735408560311284,0.745,14175,4375,5825,15625,0.7889006367243867,0.406941336996337,0.3819592997280497,0.6500000000000001,Soundex
0.7708657013237213,0.6202,0.6873735834418553,0.717925,12404,3687,7596,16313,0.7889006367243867,0.406941336996337,0.3819592997280497,0.7000000000000002,Soundex
0.7875318943521137,0.571,0.6620097968174835,0.708475,11420,3081,8580,16919,0.7889006367243867,0.406941336996337,0.3819592997280497,0.7500000000000002,Soundex
0.7981843072267455,0.5539,0.6539744384426931,0.706925,11078,2801,8922,17199,0.7889006367243867,0.406941336996337,0.3819592997280497,0.8000000000000002,Soundex
0.8044385849263898,0.54915,0.6527204112560544,0.707825,10983,2670,9017,17330,0.7889006367243867,0.406941336996337,0.3819592997280497,0.8500000000000002,Soundex
0.8068650559811432,0.5477,0.6524898737193232,0.7083,10954,2622,9046,17378,0.7889006367243867,0.406941336996337,0.3819592997280497,0.9000000000000002,Soundex
0.8068650559811432,0.5477,0.6524898737193232,0.7083,10954,2622,9046,17378,0.7889006367243867,0.406941336996337,0.3819592997280497,0.9500000000000003,Soundex
