precision,recall,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,mean_similarity_positive,mean_similarity_negative,similarity_separation,algorithm_name,threshold,avg_processing_time,total_processing_time,pairs_per_second
0.7216146997845441,0.88755,0.7960268167447702,0.772575,17751,6848,2249,13152,0.7889006367243867,0.406941336996337,0.3819592997280497,Soundex (Optimal),0.45000000000000007,6.492730975151062e-05,2.597092390060425,15401.839439015625
0.7205767250257467,0.8746,0.7901524562394128,0.767725,17492,6783,2508,13217,0.774462481962482,0.40382236874236876,0.37064011322011325,Metaphone (Optimal),0.45000000000000007,6.071119904518127e-05,2.428447961807251,16471.425630315753
0.7154138637028371,0.8561,0.779459631711925,0.757775,17122,6811,2878,13189,0.756781636002886,0.4060721661671661,0.3507094698357198,NYSIIS (Optimal),0.45000000000000007,6.037593483924866e-05,2.4150373935699463,16562.89054012177
0.0,0.0,0.0,0.499925,0,3,20000,19997,0.0,0.00015,-0.00015,Baseline (Exact Match),0.5,1.4970839023590089e-06,0.05988335609436035,667965.2345631826
0.0,0.0,0.0,0.5,0,0,20000,20000,0.0,0.0,0.0,Double Metaphone (Optimal),0.1,5.942783951759338e-05,2.3771135807037354,16827.130316658302
