Listagem dos Municípios portugueses: websites e histórico de versões no Arquivo.pt - 15-06-2021,,,,,,,,,,,,,,,,
"Fonte: Associação Nacional de Municípios Portugueses, Portal Autárquico – Direção-Geral das Autarquias Locais",,,,,,,,,,,,,,,,
Distrito,Município,Endereço (URL) do Website - online na Web,"URL - endereço para histórico
 de versões no Arquivo.pt","Município com link para histórico de
versões no Arquivo.pt ",Municípios no Facebook (geralmente fora do âmbito das recolhas do Arquivo.pt),,,,,,,,,,,
AVEIRO,Mealhada,http://www.cm-mealhada.pt,https://arquivo.pt/wayback/http://www.cm-mealhada.pt,Mealhada,https://www.facebook.com/camaramealhada/,,,,,,,,,,,
AVEIRO,Murtosa,http://www.cm-murtosa.pt,https://arquivo.pt/wayback/http://www.cm-murtosa.pt,Murtosa,https://www.facebook.com/municipiodamurtosa/,,,,,,,,,,,
AVEIRO,Oliveira de Azeméis,http://www.cm-oaz.pt,https://arquivo.pt/wayback/http://www.cm-oaz.pt,Oliveira de Azeméis,,,,,,,,,,,,
AVEIRO,Oliveira do Bairro,http://www.cm-olb.pt/,https://arquivo.pt/wayback/http://www.cm-olb.pt/,Oliveira do Bairro,https://www.facebook.com/municipio.oliveiradobairro/,,,,,,,,,,,
AVEIRO,Ovar,http://www.cm-ovar.pt,https://arquivo.pt/wayback/http://www.cm-ovar.pt,Ovar,https://www.facebook.com/cm.ovar/,,,,,,,,,,,
AVEIRO,Santa Maria da Feira,http://www.cm-feira.pt,https://arquivo.pt/wayback/http://www.cm-feira.pt,Santa Maria da Feira,https://www.facebook.com/municipio.smfeira/,,,,,,,,,,,
AVEIRO,São João da Madeira,http://www.cm-sjm.pt,https://arquivo.pt/wayback/http://www.cm-sjm.pt,São João da Madeira,https://www.facebook.com/CMSJM/,,,,,,,,,,,
AVEIRO,Sever do Vouga,http://www.cm-sever.pt,https://arquivo.pt/wayback/http://www.cm-sever.pt,Sever do Vouga,,,,,,,,,,,,
AVEIRO,Vagos,http://www.cm-vagos.pt,https://arquivo.pt/wayback/http://www.cm-vagos.pt,Vagos,https://www.facebook.com/municipiovagos,,,,,,,,,,,
AVEIRO,Vale de Cambra,http://www.cm-valedecambra.pt,https://arquivo.pt/wayback/http://www.cm-valedecambra.pt,Vale de Cambra,https://www.facebook.com/CMValedeCambra/,,,,,,,,,,,
BEJA,Aljustrel,http://www.mun-aljustrel.pt,https://arquivo.pt/wayback/http://www.mun-aljustrel.pt,Aljustrel,https://www.facebook.com/AljustrelMunicipio/,,,,,,,,,,,
BEJA,Almodôvar,http://www.cm-almodovar.pt,https://arquivo.pt/wayback/http://www.cm-almodovar.pt,Almodôvar,https://www.facebook.com/municipioalmodovar/,,,,,,,,,,,
BEJA,Alvito,http://www.cm-alvito.pt,https://arquivo.pt/wayback/http://www.cm-alvito.pt,Alvito,https://www.facebook.com/MunicipioAlvito/,,,,,,,,,,,
BEJA,Barrancos,http://www.cm-barrancos.pt,https://arquivo.pt/wayback/http://www.cm-barrancos.pt,Barrancos,https://www.facebook.com/camaramunicipaldebarrancos/,,,,,,,,,,,
BEJA,Beja,http://www.cm-beja.pt,https://arquivo.pt/wayback/http://www.cm-beja.pt,Beja,https://www.facebook.com/camaramunicipaldebeja/,,,,,,,,,,,
BEJA,Castro Verde,http://www.cm-castroverde.pt,https://arquivo.pt/wayback/http://www.cm-castroverde.pt,Castro Verde,https://www.facebook.com/municipiocastroverde/,,,,,,,,,,,
BEJA,Cuba,http://www.cm-cuba.pt,https://arquivo.pt/wayback/http://www.cm-cuba.pt,Cuba,https://www.facebook.com/municipio.cuba/,,,,,,,,,,,
BEJA,Ferreira do Alentejo,http://www.cm-ferreira-alentejo.pt,https://arquivo.pt/wayback/http://www.cm-ferreira-alentejo.pt,Ferreira do Alentejo,https://www.facebook.com/muncmfa/,,,,,,,,,,,
BEJA,Mértola,http://www.cm-mertola.pt,https://arquivo.pt/wayback/http://www.cm-mertola.pt,Mértola,https://www.facebook.com/municipiodemertola/,,,,,,,,,,,
BEJA,Odemira,http://www.cm-odemira.pt,https://arquivo.pt/wayback/http://www.cm-odemira.pt,Odemira,https://www.facebook.com/MunicipiodeOdemira/,,,,,,,,,,,
BEJA,Ourique,http://www.cm-ourique.pt,https://arquivo.pt/wayback/http://www.cm-ourique.pt,Ourique,https://www.facebook.com/municipio.deourique/,,,,,,,,,,,
BEJA,Serpa,http://www.cm-serpa.pt,https://arquivo.pt/wayback/http://www.cm-serpa.pt,Serpa,https://www.facebook.com/SerpaTerraForte/,,,,,,,,,,,
BRAGA,Amares,http://www.cm-amares.pt,https://arquivo.pt/wayback/http://www.cm-amares.pt,Amares,https://www.facebook.com/cmamares/,,,,,,,,,,,
BRAGA,Barcelos,http://www.cm-barcelos.pt,https://arquivo.pt/wayback/http://www.cm-barcelos.pt,Barcelos,https://www.facebook.com/MunicipioBarcelos/,,,,,,,,,,,
BRAGA,Braga,http://www.cm-braga.pt,https://arquivo.pt/wayback/http://www.cm-braga.pt,Braga,https://www.facebook.com/municipiodebraga/,,,,,,,,,,,
BRAGA,Cabeceiras de Basto,http://www.cabeceirasdebasto.pt,https://arquivo.pt/wayback/http://www.cabeceirasdebasto.pt,Cabeceiras de Basto,https://www.facebook.com/camaracabeceirasdebasto/,,,,,,,,,,,
BRAGA,Celorico de Basto,http://www.mun-celoricodebasto.pt/,https://arquivo.pt/wayback/http://www.mun-celoricodebasto.pt/,Celorico de Basto,https://www.facebook.com/municipio.celoricodebasto/,,,,,,,,,,,
BRAGA,Esposende,http://www.cm-esposende.pt,https://arquivo.pt/wayback/http://www.cm-esposende.pt,Esposende,https://www.facebook.com/Município-de-Esposende-173776416035932/,,,,,,,,,,,
