precision,recall,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,mean_similarity_positive,mean_similarity_negative,similarity_separation,threshold,algorithm_name
0.5,1.0,0.6666666666666666,0.5,20000,20000,0,0,0.7547384743366056,0.627019497100801,0.1277189772358046,0.1,Levenshtein Distance
0.5,1.0,0.6666666666666666,0.5,20000,20000,0,0,0.7547384743366056,0.627019497100801,0.1277189772358046,0.15000000000000002,Levenshtein Distance
0.5002376128661113,1.0,0.666877844650806,0.500475,20000,19981,0,19,0.7547384743366056,0.627019497100801,0.1277189772358046,0.20000000000000004,Levenshtein Distance
0.5012908885825291,0.99995,0.6678019868102514,0.502575,19999,19896,1,104,0.7547384743366056,0.627019497100801,0.1277189772358046,0.25000000000000006,Levenshtein Distance
0.5034236229986909,0.9999,0.6696805304400242,0.5068,19998,19726,2,274,0.7547384743366056,0.627019497100801,0.1277189772358046,0.30000000000000004,Levenshtein Distance
0.5073236361790165,0.99925,0.6729749297055209,0.514425,19985,19408,15,592,0.7547384743366056,0.627019497100801,0.1277189772358046,0.3500000000000001,Levenshtein Distance
0.5130829316078471,0.99515,0.6770764232620639,0.525375,19903,18888,97,1112,0.7547384743366056,0.627019497100801,0.1277189772358046,0.40000000000000013,Levenshtein Distance
0.5237981407702523,0.98605,0.684163052905464,0.5448,19721,17929,279,2071,0.7547384743366056,0.627019497100801,0.1277189772358046,0.45000000000000007,Levenshtein Distance
0.5486319605732737,0.9685,0.7004664954977761,0.58585,19370,15936,630,4064,0.7547384743366056,0.627019497100801,0.1277189772358046,0.5000000000000001,Levenshtein Distance
0.5827716282233628,0.9424,0.7201864659355774,0.63385,18848,13494,1152,6506,0.7547384743366056,0.627019497100801,0.1277189772358046,0.5500000000000002,Levenshtein Distance
0.6332354917424055,0.8953,0.7418025146550118,0.688375,17906,10371,2094,9629,0.7547384743366056,0.627019497100801,0.1277189772358046,0.6000000000000002,Levenshtein Distance
0.6812686964717453,0.83125,0.7488232777064614,0.721175,16625,7778,3375,12222,0.7547384743366056,0.627019497100801,0.1277189772358046,0.6500000000000001,Levenshtein Distance
0.7185741088180112,0.7277,0.7231082625329159,0.72135,14554,5700,5446,14300,0.7547384743366056,0.627019497100801,0.1277189772358046,0.7000000000000002,Levenshtein Distance
0.7186109820065069,0.54115,0.6173811357348622,0.664625,10823,4238,9177,15762,0.7547384743366056,0.627019497100801,0.1277189772358046,0.7500000000000002,Levenshtein Distance
0.6664612223934258,0.3244,0.43638809483773333,0.581025,6488,3247,13512,16753,0.7547384743366056,0.627019497100801,0.1277189772358046,0.8000000000000002,Levenshtein Distance
0.6214090287277702,0.1817,0.28118229650263077,0.5355,3634,2214,16366,17786,0.7547384743366056,0.627019497100801,0.1277189772358046,0.8500000000000002,Levenshtein Distance
0.6980538065254722,0.12195,0.20762747935643144,0.5346,2439,1055,17561,18945,0.7547384743366056,0.627019497100801,0.1277189772358046,0.9000000000000002,Levenshtein Distance
0.73061863743148,0.04665,0.08770033369365982,0.514725,933,344,19067,19656,0.7547384743366056,0.627019497100801,0.1277189772358046,0.9500000000000003,Levenshtein Distance
